,"Initial Coding Methodology, Before Any Reading",,,,,,,,,,,,,,,,,,,,,Post-reading coding,Post-reading coding,,,,,,,RR coding,
2017,ICAC_Pournaras,Can the orchestration of reverse computation across an agent-based model provide self-correction for decentralized networks?,Real-world experiments,Real-world experiment,Self-Correction within decentralized networks,Fault tolerance,Level 4,Level 4,Neutral,Decentralised networks,Other,Self-healing,Self-correction,"Partial (algorithms provided, with all workloads/applications used referenced)",If reimplemented,two scenarios (light and heavy network changes) comparison with related work,two scenarios (light and heavy network changes) comparison with related work,Yes,No,No,5,Public,Public,N,Yes,Node Topology,Structural,N,N,Multi-agent,MAS
2017,ICAC_ Grohmann,Can the parameters for resource demand estimation methods be tailored to specific applications?,Real-world experiments,Real-world experiment,parameter selection (resource demand estimation techniques),Other optimisation,N/A,N/A,Positive,Resource Demand Estimation,Other,,,"Yes (code, algorithms and, workloads referenced)",Yes,Various scenarios,Various scenarios,Yes,No,No,10,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Brocanelli,Which processes may be run at a lower priority to increase smartphone battery life?,Real-world experiments,Real-world experiment,Smartphones (energy usage),Energy efficiency,N/A,N/A,Positive,Smartphones,Smartphones,energy usage,,Yes (Clear methodology),Yes,three usage patterns and differing smartphones,three usage patterns and differing smartphones,Yes,Yes (multiple smartphone types),Yes,1,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Giridhar,Can event signals be correlated across multiple social media platforms for improved false positive elimination?,Simulation,Simulation,Social media networks (event monitoring),Other optimisation,N/A,N/A,Positive,Event Monitoring,Data centres,,,"Yes (algorithm provided, clear methodology on the collection of data)",Yes,two event detection techniques (Points of Interest and Instagram Event Localization),two event detection techniques (Points of Interest and Instagram Event Localization),Yes,Yes,Yes,16,Synthetic/Private,Synthetic,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Vialon,Can the modification of quality constraints at runtime improve goal-based self-adaptation?,Theoretical discussion,Theoretical analysis,requirement/goal-based adaptation,MAPE-K optimisation,Level 4,Level 4,Neutral,Self-Adaptive Systems,General SAS,,,N/A,N/A,No,No,No,No,No,4,N/A,N/A,N,Yes,Behavior (System goal),Meta,N,N,Protocol,Policy
2017,ICAC_Frommgen,Can the adaption of the zookeeper consensus protocol increase the efficiency and throughput of zookeeper?,Real-world experiments,Real-world experiment,improve the throughput of consensus protocol,Performance,Level 4,Level 4,Positive (mostly),Distributed frameworks,Data centres,consensus protocols,,(algorithm defined and underlying framework referenced),If reimplemented,No,No,Yes,No,No,2,Public,Public,N,Yes,Consensus protocol,Parametric ,N,N,Protocol,Policy
2017,ICAC_ Bencomo,What challenges arise due to uncertainty within operational environments and can models@run.time provide a solution?,Theoretical case-study,Theoretical analysis,Self-Adaptive Systems,Modelling,N/A,N/A,N/A,Self-Adaptation (Models @ runt.time),General SAS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N,N/A,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Behara,Can autonomous object detection and depth perception techniques expand the capabilities of 3D depth perception?,Real-world experiments,Real-world experiment,improve depth perception within 3d object detection,Other optimisation,Level 4,Level 4,Positive,Object Detection,Computer vision,,,Yes (approach is detailed with algorithms used referenced),Yes,No,No,Yes,No,No,0,Private,Private,N,Yes,N/A,N/A,N,N,Protocol,Policy
2017,ICAC_Tran,What are the computational requirements of virtualized baseband units?,Real-world experiments,Real-world experiment,Research Tool,Research tool,N/A,N/A,Positive,Cloud Radio Access Networks (mobile cellular networks),Research tools,,,Yes (Testbed is used to perform experiments),Yes,No,No,Yes,No,No,20,Private,Private,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2017,ICAC_Velarde,What vulnerabilities exist within Distributed Model Predictive Control schemes?,Case-Study,Theoretical analysis,Cyber - Security in autonomic control systems,Security,N/A,N/A,Neutral,Cyber-Security,Cyber-security,,,Yes (algorithms are provided and the exploited approach detailed),Yes,Various exploits,Various exploits,Yes,No,No,2,Synthetic,Synthetic,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2017,ICAC_Li/Niu,Can bandwidth-aware bath sizing and automatic routing of data streams reduce Spark streaming latency?,Real-world experiments,Real-world experiment,Streaming Applications (improving Latency),Performance,Level 4,Level 4,Positive,Spark Streaming,Data centres,,,"Yes (algorithms are explained, synthetic workloads are creatable and underlying framework is referenced)",Yes,Proposed approach and base implementation of spark streaming,Proposed approach and base implementation of spark streaming,Yes,Yes,Yes,4,Synthetic,Synthetic,N,Yes,N/A,N/A,N,N,N/A,N/A
